specI	species	main_module	food_microbiome_metabolic_module	food_microbiome_metabolic_function	food_microbiome_functional_gene	gene	DO_IRD_Fa_Ma1_1
specI_v4_01249	Pectobacterium aroidearum	F3MT_translation_and_posttranslation_processes	F3MT_03_Ribosome_biosynthesis	F3MT_03_T027_Ribosome_assembly_proteins	F3MT_03_T027_Ribosomal_protein_L17_rplQ	1150613.SAMN16260792.GCA_015709085_02280	1.2681908631270322
specI_v4_01249	Pectobacterium aroidearum	F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B022_Orotidine-5-phosphate_decarboxylase	F3MB_04_B022_Orotidine-5-phosphate_decarboxylase_pyrF	1150613.SAMN16260792.GCA_015709085_02390	1.3397822828196873
specI_v4_01403	Loigolactobacillus coryniformis	F3MD_DNA_metabolism	F3MD_01_DNA_replication	F3MD_01_D003_DNA_gyrase_topoisomerase	F3MD_01_D003_DNA_topoisomerase_type_IA_central_topB	115542.SAMN19092264.GCA_019390175_01072	0.4666657389596663
specI_v4_00047	Cronobacter sakazakii	F3MC_carbohydrate_metabolism	F3MC_08_NAG_chitobiose_catabolism	F3MC_08_C045_N-acetylglucosamine_kinase	F3MC_08_C045_N-acetylglucosamine_kinase_nagK	1159489.SAMN02952927.GCA_000409265_01996	0.9715380296470246
specI_v4_00300	Cronobacter dublinensis	F3MA_RNA_metabolism	F3MA_01_RNA_transcription	F3MA_01_R001_RNA_polymerase_rpo	F3MA_01_R001_DNA-dependent_RNA_polymerase_subunitB_rpoB	1159496.SAMN02952931.GCA_000409345_00129	0.7186719671361552
specI_v4_00300	Cronobacter dublinensis	F3MC_carbohydrate_metabolism	F3MC_05_general_PTS_enzymes	F3MC_05_C030_Phosphotransferase_system_Enzyme_I	F3MC_05_C030_Phosphotransferase_system_Enzyme_I_ptsI	1159496.SAMN02952931.GCA_000409345_00903	1.701020509245473
specI_v4_00300	Cronobacter dublinensis	F3MR_redox	F3MR_01_peroxides_metabolism	F3MR_01_Hydrogen_peroxide_peroxidase	F3MR_01_R018_Manganese_dependent_catalase_ydbD	1159496.SAMN02952931.GCA_000409345_01846	0.8980162328088714
specI_v4_00300	Cronobacter dublinensis	F3MM_cell_motility	F3MM_02_chemotaxis	F3MM_02_M025_Methyl-accepting_chemotaxis_protein	F3MM_02_M025_Methyl-accepting_chemotaxis_protein_mcp	1159496.SAMN02952931.GCA_000409345_02728	1.0318820066437344
specI_v4_00300	Cronobacter dublinensis	F3MD_DNA_metabolism	F3MD_01_DNA_replication	F3MD_01_D004_DNA_helicases	F3MD_01_D004_DNA_helicase_Unwinds_branched_duplex_DNA_Y-DNA_recG	1159496.SAMN02952931.GCA_000409345_03306	0.478769461295796
specI_v4_00300	Cronobacter dublinensis	F3MN_amino_acid_nitrogen_metabolism	F3MN_17_peptides_catabolic_pathways	F3MN_17_N116_Broad_specificity_carboxypeptidase_ypwA	F3MN_17_N116_Broad_specificity_carboxypeptidase_ypwA	1159560.SAMN02952932.GCA_000409365_02469	1.3081338824381197
specI_v4_00300	Cronobacter dublinensis	F3MC_carbohydrate_metabolism	F3MC_11_maltose_starch_dextran_catabolism	F3MC_11_C059_Alpha_beta-phosphoglucomutase	F3MC_11_C059_Alpha-phosphoglucomutase_pgmA	1159613.SAMN02952928.GCA_000409285_01903	0.3037166418092161
specI_v4_00047	Cronobacter sakazakii	F3MN_amino_acid_nitrogen_metabolism	F3MN_19_cysteine_biosynthesis	F3MN_19_N132_O-acetyl-L-serine_sulfhydrylase_cysteine_synthase_A	F3MN_19_N132_O-acetyl-L-serine_sulfhydrylase_cysteine_synthase_A_cysK	1159614.SAMN02952936.GCA_000409405_01387	2.82379042044716
specI_v4_00746	Acinetobacter schindleri	F3ML_fatty_acids_metabolism	F3ML_02_fatty_acids_biosynthesis_elongation	F3ML_02_L008_3-hydroxy-acyl-acyl-carrier-protein_dehydratase	F3ML_02_L008_3-hydroxy-acyl-acyl-carrier-protein_dehydratase_fabZ	1173062.SAMN02471709.GCA_000264725_01721	2.038441755455721
specI_v4_00746	Acinetobacter schindleri	F3MR_redox	F3MR_04_respiratory_chain	F3MR_04_NADH_dehydrogenase_I	F3MR_04_R031_NADH_dehydrogenase_I_chain_G_nuoG	1173062.SAMN02471709.GCA_000264725_02939	0.1860391971664515
specI_v4_00183	Bacillus altitudinis	F3MN_amino_acid_nitrogen_metabolism	F3MN_12_serine_threonine_catabolic_pathways	F3MN_12_N220_L-threonine_dehydrogenase	F3MN_12_N220_L-threonine_dehydrogenase_tdh	1177926.SAMN02469599.GCA_000264255_03950	2.5363817262540644
specI_v4_00301	Lactococcus petauri	F3MD_DNA_metabolism	F3MD_03_DNA_modification_restriction	F3MD_03_D017_DNA_restriction_enzymes	F3MD_03_D017_type_I_site-specific_restriction_enzyme_hsdS	1181234.SAMN02470077.GCA_000269705_00927	0.8607927620188663
specI_v4_00179	Enterococcus_D casseliflavus	F3MM_cell_motility	F3MM_01_flagellar_assembly	F3MM_01_M018_Flagellar_motor_switch_protein	F3MM_01_M018_Flagellar_motor_switch_protein_FliM	1182762.SAMN02471425.GCA_000277605_00352	0.492976270236324
specI_v4_00047	Cronobacter sakazakii	F3MU_uptake_transport_systems	F3MU_08_amino_acids_amines_ABC_transport_systems	F3MU_08_U070_cysteine_methionine_ABC_transporters	F3MU_08_U070_D-methionine_ABC_transport_system_substrate-binding_protein_metQ	1208590.SAMEA2272584.GCA_000319515_00213	1.1457448487561464
specI_v4_00047	Cronobacter sakazakii	F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B031_Phosphoribosylpyrophosphate_synthetase	F3MB_05_B031_Phosphoribosylpyrophosphate_synthetase_prs	1208590.SAMEA2272584.GCA_000319515_02413	0.9658895527304722
specI_v4_00047	Cronobacter sakazakii	F3MF_cofactors_metabolism	F3MF_15_2Fe-2S_iron-sulfur_cluster_biosynthesis	F3MF_15_F003_Cysteine_desulfurase	F3MF_15_F003_Cysteine_desulfurase_iscS	1208590.SAMEA2272584.GCA_000319515_02965	1.825637396369684
specI_v4_00047	Cronobacter sakazakii	F3MD_DNA_metabolism	F3MD_01_DNA_replication	F3MD_01_D007_DNA_polymerases	F3MD_01_D007_DNA_polymerase_III_psi_delta_holD	1208591.SAMEA2272770.GCA_000319535_00043	1.2215661990414797
specI_v4_00047	Cronobacter sakazakii	F3MC_carbohydrate_metabolism	F3MC_15_glycogen_degradation	F3MC_15_C088_Catabolic_glycogen_maltodextrin_alpha-1-4-phosphorylase	F3MC_15_C088_Catabolic_glycogen_maltodextrin_alpha-1-4-phosphorylase_glgP	1208592.SAMEA2272711.GCA_000319615_00965	0.3716621992609423
specI_v4_00047	Cronobacter sakazakii	F3MA_RNA_metabolism	F3MA_03_tRNA_modifications	F3MA_03_R013_tRNA_uridine_modification_proteins	F3MA_03_R013_3_terminal_tRNAs_repair_protein_cca	1208592.SAMEA2272711.GCA_000319615_02168	0.3955547692134314
specI_v4_00047	Cronobacter sakazakii	F3MN_amino_acid_nitrogen_metabolism	F3MN_12_serine_threonine_catabolic_pathways	F3MN_12_N063_L-threonine_deaminase	F3MN_12_N063_L-threonine_deaminase_tdcB	1208592.SAMEA2272711.GCA_000319615_02946	0.280156834856056
specI_v4_00047	Cronobacter sakazakii	F3ME_ATP_biosynthesis	F3ME_01_F-type_H+-transporting_ATPase	F3ME_01_E001_F-type_H+_Na+-transporting_ATPase	F3ME_01_E001_F-type_H+_Na+-transporting_ATPase_subunit_beta_atpD	1208592.SAMEA2272711.GCA_000319615_03375	0.4383456545373119
specI_v4_00300	Cronobacter dublinensis	F3MC_carbohydrate_metabolism	F3MC_01_EMP_pathway	F3MC_01_C004_6-phosphofructokinase	F3MC_01_C004_6-phosphofructokinase_pfkA	1208656.SAMEA2272335.GCA_000319345_00013	0.8955957038794675
specI_v4_00300	Cronobacter dublinensis	F3MN_amino_acid_nitrogen_metabolism	F3MN_19_cysteine_biosynthesis	F3MN_19_N130_Serine_acetyltransferase	F3MN_19_N130_Serine_acetyltransferase_cysE	1208656.SAMEA2272335.GCA_000319345_00020	1.0383312691852575
specI_v4_00300	Cronobacter dublinensis	F3MD_DNA_metabolism	F3MD_05_DNA_homologous_recombination	F3MD_05_D025_DNA_recombination_and_repair_helicases	F3MD_05_D025_DNA_recombination_and_repair_helicase_recC	1208656.SAMEA2272335.GCA_000319345_01798	0.579870865862622
specI_v4_00300	Cronobacter dublinensis	F3MU_uptake_transport_systems	F3MU_11_inorganic_ions_transport_systems	F3MU_11_U097_potassium_transport_systems	F3MU_11_U097_K+_uptake_protein_ktrA	1208656.SAMEA2272335.GCA_000319345_01803	2.001602446622184
specI_v4_00300	Cronobacter dublinensis	F3MC_carbohydrate_metabolism	F3MC_09_trehalose_catabolism	F3MC_09_C051_Trehalose_phosphorylase	F3MC_09_C051_Trehalose_phosphorylase_treB	1208656.SAMEA2272335.GCA_000319345_01965	0.4343346485480815
specI_v4_00300	Cronobacter dublinensis	F3MM_cell_motility	F3MM_02_chemotaxis	F3MM_02_M026_Two-component_system_chemotaxis_family_sensor_kinase	F3MM_02_M026_Two-component_system_chemotaxis_family_sensor_kinase_CheA	1208656.SAMEA2272335.GCA_000319345_02748	0.6753374108522
